지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
서울특별시,한신주유소,서울 노원구 동일로 1089 (공릉동),SK에너지,02-974-5151,Y,2138,1968,1838,-
서울특별시,삼육주유소,서울 노원구 화랑로 822 (공릉동),SK에너지,02-949-3677,Y,-,1975,1845,1500
서울특별시,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),S-OIL,02-976-5189,Y,2195,1995,1895,-
서울특별시,화랑대주유소,서울 노원구 화랑로 483,현대오일뱅크,02-977-9697,Y,2200,1995,1895,1400
서울특별시,이엠석유(주)배꽃나라주유소,서울특별시 노원구  화랑로 466 (공릉1동),GS칼텍스,02-973-5172,Y,2189,2009,1909,-
서울특별시,현대오일뱅크㈜직영 하계주유소,서울 노원구 노원로17길 29 (하계동),현대오일뱅크,02-975-1386,N,2175,2015,1925,1469
서울특별시,월계주유소,서울 노원구 월계로 252 (월계동),GS칼텍스,02-917-7650,Y,-,2015,1915,1399
서울특별시,SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),SK에너지,02-930-5151,N,-,2025,1965,-
서울특별시,남선석유(주)구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),S-OIL,02-932-6850,Y,-,2025,1965,-
서울특별시,노원주유소,서울 노원구 동일로 1008 (공릉동),GS칼텍스,02-949-5151,N,-,2038,1949,1500
서울특별시,상계동주유소,서울 노원구 노원로26길 191 (상계동),현대오일뱅크,02-936-5035,N,-,2090,1990,1700
서울특별시,하계삼호주유소,서울 노원구 공릉로 294 (하계동),GS칼텍스,02-974-8818,N,-,2095,1995,-
서울특별시,성북역주유소,서울 노원구 광운로 95 (월계동),GS칼텍스,02-919-8141,N,2198,2098,1998,-
서울특별시,(주)소모에너지 수락산셀프주유소,서울 노원구 동일로 1772,GS칼텍스,02-3392-5656,Y,-,2098,1998,1600
서울특별시,신성주유소,서울 노원구 월계로 328 (월계동),S-OIL,02-916-4334,Y,-,2098,1998,-
