지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
서울특별시,성산주유소,서울 마포구 월드컵북로 170 (성산제2동),SK에너지,02-373-3314,N,,1987,1877,-
서울특별시,성산대교셀프주유소,서울 마포구 성산로 144,현대오일뱅크,02-323-0078,Y,,1988,1865,1598
서울특별시,청원주유소,서울 마포구 월드컵북로 113 (성산동),현대오일뱅크,02-325-5533,Y,2198,1988,1865,-
서울특별시,마포시엠주유소,서울 마포구 월드컵북로62 (성산동),GS칼텍스,02-336-1687,N,,1997,1897,-
서울특별시,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),SK에너지,02-334-0917,N,,1998,1898,-
서울특별시,에스에스오토셀프,서울 마포구 서강로 76 (창전동),현대오일뱅크,02-336-5185,Y,2294,2039,1929,-
서울특별시,에스오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),S-OIL,02-3272-5155,Y,,2039,1929,-
서울특별시,용강주유소,서울 마포구 토정로 258,S-OIL,070-7795-4800,N,,2059,1949,1350
서울특별시,대흥주유소,서울 마포구 대흥로 61 (대흥동),SK에너지,02-3273-5151,N,2316,2069,1959,1699
서울특별시,SK에너지(주) 안국주유소,서울 마포구 양화로 33 (합정동),SK에너지,02-3144-1197,N,2299,2199,2139,-
서울특별시,SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),SK에너지,02-706-8955,N,2299,2199,2169,-
서울특별시,마포주유소,서울 마포구 마포대로 186 (공덕동),S-OIL,02-701-3990,N,,2299,2198,1647
