상호,상표,구,셀프여부,휘발유,경유
현대오일뱅크(주)직영 산성셀프주유소,현대오일뱅크,강남구,Y,1955.0,1900.0
(주)보성 세곡주유소,SK에너지,강남구,Y,1955.0,1900.0
방죽주유소,GS칼텍스,강남구,Y,1987.0,1919.0
에스제이에너지산업(주) 개포주유소,GS칼텍스,강남구,N,2028.0,1928.0
자곡셀프주유소,SK에너지,강남구,Y,2038.0,1981.0
일원주유소,SOIL,강남구,Y,2038.0,1981.0
대교주유소,SK에너지,강남구,N,2040.0,1940.0
SK서광주유소,SK에너지,강남구,Y,2045.0,1995.0
오일프러스 셀프,SK에너지,강남구,Y,2047.0,1995.0
현대오일뱅크 도곡셀프주유소,현대오일뱅크,강남구,Y,2047.0,1950.0
지에스칼텍스㈜에너지플러스허브GS타워,GS칼텍스,강남구,N,2052.0,1933.0
(주)중앙에너비스 수서지점,SK에너지,강남구,Y,2055.0,1995.0
현대오일뱅크(주) 유진주유소,현대오일뱅크,강남구,N,2062.0,1965.0
(주)선진도곡주유소,SOIL,강남구,N,2079.0,1969.0
SK에너지㈜ 진달래주유소,SK에너지,강남구,N,2079.0,2039.0
에쓰오일㈜직영 개나리주유소,SOIL,강남구,N,2089.0,1969.0
SK에너지(주) 매봉주유소,SK에너지,강남구,Y,2089.0,2049.0
대동석유 압구정주유소,SK에너지,강남구,Y,2097.0,1987.0
(유)동하석유 힐탑셀프주유소,SK에너지,강남구,Y,2097.0,1997.0
현대오일뱅크㈜직영 삼성동주유소,현대오일뱅크,강남구,N,2108.0,2024.0
지에스칼텍스㈜ 은마주유소,GS칼텍스,강남구,N,2158.0,2064.0
현대오일뱅크(주)직영 신사현대주유소,현대오일뱅크,강남구,N,2194.0,2097.0
현대오일뱅크(주)직영 한양주유소,현대오일뱅크,강남구,N,2194.0,2097.0
지에스칼텍스㈜ 삼성로주유소,GS칼텍스,강남구,Y,2228.0,2125.0
명품주유소,SOIL,강남구,N,2239.0,2152.0
대성석유(주)동호주유소,GS칼텍스,강남구,N,2243.0,2049.0
㈜새서울석유 새서울주유소,현대오일뱅크,강남구,N,2288.0,2158.0
대청주유소,SK에너지,강남구,N,2296.0,2156.0
지에스칼텍스(주)학여울주유소,GS칼텍스,강남구,N,2329.0,2242.0
SK논현주유소,SK에너지,강남구,N,2380.0,2160.0
갤러리아주유소,SK에너지,강남구,N,2393.0,2160.0
(주)소모에너지 쎈트럴주유소,GS칼텍스,강남구,N,2394.0,2162.0
(주)만정에너지,GS칼텍스,강남구,N,2398.0,2164.0
제이제이주유소,현대오일뱅크,강남구,N,2545.0,2335.0
경원주유소,SOIL,강남구,N,2058.8986175115206,1963.2568807339449
삼성주유소,SK에너지,강남구,N,2058.8986175115206,1963.2568807339449
동우주유소,SK에너지,강남구,N,2058.8986175115206,1963.2568807339449
아시아주유소,GS칼텍스,송파구,Y,1978.0,1878.0
삼화주유소,GS칼텍스,송파구,Y,1978.0,1878.0
(주)잠실에너지,S-OIL,송파구,Y,1985.0,1854.0
현대오일뱅크㈜직영 잠실셀프주유소,현대오일뱅크,송파구,Y,1985.0,1894.0
(주)삼표에너지 훼미리주유소,GS칼텍스,송파구,N,1988.0,1868.0
위례드림주유소,S-OIL,송파구,Y,1993.0,1849.0
지에스칼텍스(주)스마트위례주유소,GS칼텍스,송파구,Y,1993.0,1849.0
지에스칼텍스(주)가든파이브주유소,GS칼텍스,송파구,Y,1993.0,1849.0
현대오일뱅크㈜직영 올림픽셀프주유소,현대오일뱅크,송파구,Y,1993.0,1904.0
남성대주유소,SK에너지,송파구,Y,1993.0,1943.0
위례제일주유소,S-OIL,송파구,Y,1993.0,1884.0
상아주유소,S-OIL,송파구,Y,1993.0,1884.0
백제고분로주유소,SK에너지,송파구,Y,1997.0,1898.0
제트라인DM주유소,현대오일뱅크,송파구,N,1998.0,1912.0
(주)퍼스트오일서울주유소,S-OIL,송파구,N,1998.0,1898.0
(주)유진주유소,SK에너지,송파구,N,1998.0,1912.0
완불주유소,SK에너지,송파구,Y,1998.0,1943.0
대성주유소,SK에너지,송파구,N,1998.0,1888.0
(주)남경석유 세영주유소,GS칼텍스,송파구,N,1999.0,1879.0
현대오일뱅크㈜직영 서원주유소,현대오일뱅크,송파구,N,2023.0,1942.0
(주)삼표에너지 우리주유소,GS칼텍스,송파구,N,2025.0,1915.0
대성석유(주)석촌주유소,GS칼텍스,송파구,N,2027.0,1909.0
삼전셀프주유소,SK에너지,송파구,Y,2027.0,1909.0
방이주유소,SK에너지,송파구,N,2027.0,1937.0
송파주유소,GS칼텍스,송파구,Y,2027.0,1943.0
현대오일뱅크㈜직영 거여셀프주유소,현대오일뱅크,송파구,Y,2028.0,1908.0
(주)정직한주유소,현대오일뱅크,송파구,Y,2028.0,1908.0
지에스이앤알 직영 송파제일주유소,현대오일뱅크,송파구,Y,2028.0,1938.0
(주)신화에너지 서울지점,SK에너지,송파구,Y,2055.0,1945.0
한강에너지(주)퍼스트주유소,SK에너지,송파구,Y,2055.0,1995.0
(주)뉴명성산업 남성주유소,현대오일뱅크,송파구,N,2089.0,1994.0
대신석유(주)진양주유소,SK에너지,송파구,N,2148.0,2048.0
타이거주유소,SK에너지,은평구,Y,1949.0,1859.0
다회주유소,S-OIL,은평구,Y,1954.0,1854.0
불광주유소,현대오일뱅크,은평구,Y,1973.0,1883.0
성원이앤에스(주)은평지점,GS칼텍스,은평구,Y,1973.0,1883.0
뉴타운셀프주유소,S-OIL,은평구,Y,1985.0,1895.0
지에스칼텍스(주)수색뉴타운주유소,GS칼텍스,은평구,Y,2014.0,1947.0
박석고개주유소,SK에너지,은평구,Y,2018.0,1935.0
지에스칼텍스㈜ 서부주유소,GS칼텍스,은평구,Y,2018.0,1943.0
현대오일뱅크㈜직영 은평드림주유소,현대오일뱅크,은평구,N,2018.0,1935.0
지에스칼텍스㈜ 신사제일주유소,GS칼텍스,은평구,Y,2018.0,1943.0
지에스칼텍스㈜ 녹번주유소,GS칼텍스,은평구,Y,2018.0,1943.0
은평뉴타운주유소,SK에너지,은평구,Y,2018.0,1935.0
(주)명연에너지 수색훼미리주유소,현대오일뱅크,은평구,Y,2025.0,1935.0
제이제이에너지,SK에너지,은평구,Y,2027.0,1947.0
코끼리주유소,자가상표,은평구,N,2048.0,1998.0
대성산업㈜ 대성주유소,GS칼텍스,은평구,Y,2068.0,2019.0
삼융주유소,SK에너지,은평구,N,2058.8986175115206,1963.2568807339449
(주)헨지스에너지 구도일주유소 도봉,S-OIL,도봉구,Y,1945.0,1853.0
도봉제일주유소(주)송만에너지,현대오일뱅크,도봉구,N,1995.0,1893.0
(주)자연에너지 햇살주유소,현대오일뱅크,도봉구,Y,1995.0,1893.0
한이에너지(주)KLP제1주유소,현대오일뱅크,도봉구,N,1995.0,1895.0
한이에너지(주) 쌍문주유소,S-OIL,도봉구,Y,1995.0,1895.0
삼미북부셀프주유소,SK에너지,도봉구,Y,1995.0,1895.0
구도일주유소 파크빌,S-OIL,도봉구,Y,1998.0,1895.0
극동유화(주) 대안주유소,S-OIL,도봉구,Y,1999.0,1899.0
지에스칼텍스㈜ 방학동주유소,GS칼텍스,도봉구,Y,2007.0,1935.0
지에스칼텍스㈜ 도봉주유소,GS칼텍스,도봉구,Y,2011.0,1929.0
현대오일뱅크㈜직영 도봉현대셀프주유소,현대오일뱅크,도봉구,Y,2028.0,1938.0
현대오일뱅크㈜직영 영신주유소,현대오일뱅크,도봉구,N,2039.0,1949.0
(주)쌍문셀프주유소,현대오일뱅크,도봉구,Y,2045.0,1945.0
오복주유소,S-OIL,도봉구,Y,2053.0,1946.0
노원교주유소,현대오일뱅크,도봉구,Y,2065.0,1995.0
대성산업(주)신창주유소,GS칼텍스,도봉구,Y,2069.0,2019.0
동일석유(주) 창동주유소,SK에너지,도봉구,Y,2085.0,2089.0
정다운셀프주유소,SK에너지,도봉구,Y,2058.8986175115206,1963.2568807339449
성산주유소,SK에너지,마포구,N,1987.0,1877.0
성산대교셀프주유소,현대오일뱅크,마포구,Y,1988.0,1865.0
청원주유소,현대오일뱅크,마포구,Y,1988.0,1865.0
마포시엠주유소,GS칼텍스,마포구,N,1997.0,1897.0
(주)안국에너지 망원동주유소,SK에너지,마포구,N,1998.0,1898.0
에스에스오토셀프,현대오일뱅크,마포구,Y,2039.0,1929.0
에스오일(주) 염리동주유소,S-OIL,마포구,Y,2039.0,1929.0
용강주유소,S-OIL,마포구,N,2059.0,1949.0
대흥주유소,SK에너지,마포구,N,2069.0,1959.0
SK에너지(주) 안국주유소,SK에너지,마포구,N,2199.0,2139.0
SK에너지 양지주유소,SK에너지,마포구,N,2199.0,2169.0
마포주유소,S-OIL,마포구,N,2299.0,2198.0
수유동주유소,GS칼텍스,강북구,Y,1989.0,1889.0
대성석유(주)신광주유소,GS칼텍스,강북구,N,1995.0,1895.0
세원주유소,SK에너지,강북구,Y,1998.0,1898.0
에덴주유소,SK에너지,강북구,Y,1998.0,1915.0
덕릉로주유소,S-OIL,강북구,Y,1998.0,1913.0
SK에너지(주) 매일주유소,SK에너지,강북구,Y,1999.0,1929.0
㈜지에스이앤알 미아주유소,GS칼텍스,강북구,Y,1999.0,1899.0
(주)석산에너지,현대오일뱅크,강북구,Y,1999.0,1919.0
북서울고속주유소,S-OIL,강북구,Y,1999.0,1919.0
(주)서울에너지 시민주유소,현대오일뱅크,강북구,N,1999.0,1919.0
현대오일뱅크㈜직영 새한셀프주유소,현대오일뱅크,강북구,Y,2009.0,1919.0
현대오일뱅크(주)직영 번동셀프주유소,현대오일뱅크,강북구,Y,2009.0,1919.0
