지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
서울특별시,지에스칼텍스㈜ 건지주유소,서울 양천구 안양천로 1171 (목동),GS칼텍스,02-2644-5108,Y,2104,1926,1824,1310
서울특별시,지에스칼텍스㈜ 서호주유소,서울 양천구 남부순환로 317,GS칼텍스,02-2602-5172,Y,2129,1955,1848,1380
서울특별시,양천구주유소,서울 양천구 국회대로 275 (목동),알뜰주유소,02-2644-5105,Y,-,1975,1869,-
서울특별시,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),GS칼텍스,02-2607-9478,N,-,1978,1878,-
서울특별시,개나리Self주유소,서울 양천구 남부순환로 442 (신월동),SK에너지,02-2606-5189,Y,-,1979,1949,-
서울특별시,현대주유소,서울 양천구 남부순환로 372 (신월동),S-OIL,02-2608-9231,Y,-,1979,1909,-
서울특별시,형산석유(주)원주유소,서울 양천구 남부순환로 408,현대오일뱅크,02-2690-5837,N,-,1979,1949,1510
서울특별시,(주)타이거오일 신정주유소,서울 양천구 중앙로 226 (신정동),SK에너지,02-2646-6212,Y,-,1979,1889,-
서울특별시,현대오일뱅크(주)직영 남부순환셀프주유소,서울 양천구 남부순환로 553 (신월동),현대오일뱅크,02-2690-5001,Y,2260,1979,1958,-
서울특별시,현대오일뱅크(주)직영 양천현대셀프주유소,서울 양천구 안양천로 1179 (목동),현대오일뱅크,02-2653-5189,Y,2164,1986,1934,-
서울특별시,현대오일뱅크㈜직영 목동셀프주유소,서울 양천구 공항대로 648 (목동),현대오일뱅크,02-2648-4204,Y,-,1989,1939,-
서울특별시,현대오일뱅크(주)직영 양천셀프주유소,서울 양천구 목동로 17,현대오일뱅크,02-2644-5185,Y,2174,1989,1912,-
서울특별시,삼미상사(주)신월IC셀프주유소,서울 양천구 중앙로 331 (신월동),SK에너지,02-2694-4966,Y,-,1995,1925,-
서울특별시,(주)삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),GS칼텍스,02-2654-5153,Y,2174,1996,1944,-
서울특별시,신정동주유소,서울 양천구 안양천로 663 (신정동),현대오일뱅크,02-2651-5189,Y,-,1997,1937,-
서울특별시,목동주유소,서울 양천구 목동중앙로 125 (목동),SK에너지,02-2645-5104,Y,-,1998,1938,-
서울특별시,신월주유소,서울 양천구 신월로 193 (신월동),GS칼텍스,02-2603-5182,Y,-,1998,1898,1300
서울특별시,가로공원주유소,서울 양천구 가로공원로 165 (신월동),SK에너지,02-2695-3423,N,-,1998,1948,-
서울특별시,SK에너지(주) 경인주유소,서울 양천구 국회대로 170 (신정동),SK에너지,02-2693-4994,Y,-,1999,1949,1398
서울특별시,(주)서부트럭터미날,서울 양천구 신정로 167 (신정동),현대오일뱅크,02-2614-0047,N,-,1999,1899,1250
서울특별시,현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,현대오일뱅크,02-2642-5188,Y,2250,2018,1987,-
서울특별시,SK에너지(주) 신평,서울 양천구 목동남로 62 (신정동),SK에너지,02-2654-5145,N,2149,2029,1999,1150
서울특별시,양정주유소,서울 양천구 국회대로 158 (신정동),현대오일뱅크,02-2691-5185,N,-,2048,1998,-
서울특별시,신양주유소,서울 양천구 지양로 67,SK에너지,02-2608-3312,N,-,2099,1979,1599
서울특별시,평화주유소,서울 양천구 안양천로 657 (신정동),SK에너지,02-2647-2122,N,2387,2177,1987,-
