날짜,종가,전일비,시가,고가,저가,거래량
2022-04-19,160500,4000,156500,161000,156500,267752
2022-04-18,156500,2000,157000,159000,155500,274233
2022-04-15,158500,5500,161500,162000,157500,444152
2022-04-14,164000,500,164000,164500,161000,358845
2022-04-13,164500,3500,161000,164500,161000,236840
2022-04-12,161000,1000,159500,163500,159000,285933
2022-04-11,162000,2000,163500,164000,159500,304419
2022-04-08,164000,2500,167500,168000,163000,291965
2022-04-07,166500,2000,167500,170000,166000,365033
2022-04-06,168500,3000,170500,172000,168000,323766
2022-04-05,171500,1500,170500,171500,168500,218135
2022-04-04,170000,1000,169000,171000,168500,216519
2022-04-01,169000,2500,170000,170500,168500,292355
2022-03-31,171500,2500,174500,175500,170000,374991
2022-03-30,174000,3500,172000,175000,170000,511635
2022-03-29,170500,2500,169000,171500,168500,408739
2022-03-28,168000,2500,165500,169000,164500,404844
2022-03-25,165500,2500,169000,169000,165000,674540
2022-03-24,168000,1500,169000,171000,164500,798085
2022-03-23,169500,1500,169500,171000,168500,657221
2022-03-22,168000,13000,169000,171000,167000,3948396
2022-03-21,181000,5500,188000,188000,180500,506427
2022-03-18,186500,1000,189500,189500,185500,476640
2022-03-17,185500,4500,185000,189500,184000,743312
2022-03-16,181000,1000,182000,182500,179000,345157
2022-03-15,180000,500,181500,183000,176000,580204
2022-03-14,180500,7500,183500,188500,178500,1451284
2022-03-11,173000,0,173500,180000,171000,803036
2022-03-10,173000,3000,173000,173500,168500,618850
2022-03-08,170000,5000,163500,174000,162500,686569
2022-03-07,165000,2000,164500,169000,162500,425525
2022-03-04,167000,4000,169000,172000,165000,522121
2022-03-03,171000,12000,159000,174500,159000,1198178
2022-03-02,159000,500,159500,163000,159000,291310
2022-02-28,159500,4000,154500,159500,153500,382197
2022-02-25,155500,4500,154000,155500,152500,406851
2022-02-24,151000,9500,157000,157500,150000,777354
2022-02-23,160500,2500,163000,165500,160000,417108
2022-02-22,163000,1500,158500,164000,158000,502675
2022-02-21,161500,4000,156000,162500,155000,420429
2022-02-18,157500,2000,157000,158500,155000,308436
2022-02-17,159500,1500,159000,162500,154500,613331
2022-02-16,158000,4500,156500,160500,155500,482702
2022-02-15,153500,5000,158000,159000,152000,600480
2022-02-14,158500,0,155000,162000,154500,391713
2022-02-11,158500,2000,162500,162500,158000,375828
2022-02-10,160500,0,161000,163500,160000,395405
2022-02-09,160500,1500,163000,163500,159000,387543
2022-02-08,162000,5000,158500,164500,158000,578570
2022-02-07,157000,1500,162500,162500,156000,513685
2022-02-04,158500,1500,157000,160500,154500,357610
2022-02-03,157000,6000,153500,160500,153000,691563
2022-01-28,151000,3500,148500,153000,148500,796224
2022-01-27,147500,8500,156000,157000,147000,1070528
2022-01-26,156000,2500,158000,161000,155500,576941
2022-01-25,158500,8000,167000,167000,157500,825238
2022-01-24,166500,3000,162500,167500,161500,619009
2022-01-21,163500,1500,168500,170000,162000,748299
2022-01-20,165000,2000,165500,166500,161000,792364
2022-01-19,167000,7500,156000,170000,155500,1528366
2022-01-18,159500,500,163000,167500,158500,1557003
2022-01-17,160000,11000,165500,173000,159500,2651120
2022-01-14,171000,24000,190500,191000,170000,2530712
2022-01-13,195000,2000,197000,197500,192000,479134
2022-01-12,197000,500,197500,198500,193000,447595
2022-01-11,196500,9500,190000,198500,189500,1047658
2022-01-10,187000,4500,183000,191500,180500,874365
2022-01-07,182500,1500,182000,186000,181500,515433
2022-01-06,181000,6500,183000,186000,179000,1046403
2022-01-05,187500,7000,193500,193500,187000,1113525
2022-01-04,194500,4000,196500,199500,194000,658570
2022-01-03,198500,500,198500,200000,196500,417167
2021-12-30,198000,3000,202000,202000,198000,780889
2021-12-29,201000,11000,207500,208000,200500,1631108
2021-12-28,216000,12000,204500,216000,204000,1974215
2021-12-27,204000,3000,200000,205000,199500,906195
2021-12-24,201000,0,201000,203500,201000,394428
2021-12-23,201000,500,199000,204500,195000,698278
2021-12-22,200500,4500,205500,206000,199500,710518
2021-12-21,205000,1000,207000,207500,204500,355175
2021-12-20,206000,1000,206500,211500,205500,547695
2021-12-17,207000,1000,205000,208500,203000,523696
2021-12-16,206000,500,208000,209000,205000,328176
2021-12-15,206500,500,205500,210500,205500,432726
2021-12-14,206000,1000,205000,208500,204500,342568
2021-12-13,205000,3000,210000,210500,204500,410820
2021-12-10,208000,3000,211000,211500,207000,380838
2021-12-09,211000,3500,208000,212500,206500,810939
2021-12-08,207500,4000,204500,210000,204500,628351
2021-12-07,203500,3000,206500,206500,201000,691681
2021-12-06,206500,4000,208000,210500,205000,560276
2021-12-03,210500,2500,211000,212500,206500,633417
2021-12-02,213000,1500,210000,214000,206500,522300
2021-12-01,211500,4500,211000,218000,209500,840037
2021-11-30,207000,5500,218000,218500,205500,1149446
2021-11-29,212500,1500,220500,224500,212000,1049158
2021-11-26,214000,5000,209000,218500,208000,870748
2021-11-25,209000,2000,211500,214000,208500,475696
2021-11-24,211000,500,210500,214500,208500,671761
2021-11-23,211500,13500,219000,220500,206500,1426174
2021-11-22,225000,2000,221000,227500,219000,566162
2021-11-19,223000,8000,215500,223500,215500,646676
2021-11-18,215000,4000,216500,221500,215000,541693
2021-11-17,219000,10000,227500,230000,218500,916835
2021-11-16,229000,4000,232000,235000,226000,1009172
2021-11-15,233000,19500,227000,251000,221500,4479850
2021-11-12,213500,1000,232000,232500,213000,1592862
2021-11-11,212500,1500,210000,215000,207500,681176
2021-11-10,214000,8500,210500,221000,209000,1274733
2021-11-09,205500,8500,198500,207500,197500,703159
2021-11-08,197000,12000,202000,203000,193500,1181053
2021-11-05,209000,500,208500,209500,203500,488779
2021-11-04,208500,1500,210500,215000,207000,426637
2021-11-03,210000,3500,207000,211000,204000,405132
2021-11-02,206500,1000,206000,212000,204500,812378
2021-11-01,205500,5000,200500,208500,196000,862490
2021-10-29,200500,15000,217000,217000,200000,1500726
2021-10-28,215500,3500,220000,220500,215500,382286
2021-10-27,219000,3500,222500,222500,218500,266457
2021-10-26,222500,6000,218000,225000,217500,543088
2021-10-25,216500,3000,219500,220000,215000,336539
2021-10-22,219500,2000,217000,220500,214500,293238
2021-10-21,217500,1500,220000,221000,217500,340552
2021-10-20,219000,1000,219500,225500,218500,522976
2021-10-19,218000,1500,217000,218500,213500,482568
2021-10-18,216500,3500,221000,221000,215000,412924
2021-10-15,220000,2000,224000,225000,219000,427388
2021-10-14,222000,6500,217000,223000,215500,563771
2021-10-13,215500,1000,211500,218000,211500,460999
2021-10-12,214500,9500,222500,223000,213000,778783
2021-10-08,224000,11000,215500,225000,215500,992187
2021-10-07,213000,1000,215000,219500,211500,1072554
2021-10-06,212000,6000,218500,227500,212000,1834318
2021-10-05,218000,30000,240000,240500,216000,2415460
2021-10-01,248000,11500,258000,258500,247500,1020405
2021-09-30,259500,1500,260000,263000,259000,461399
2021-09-29,261000,2500,259500,265000,259500,471947
2021-09-28,263500,4000,265000,269500,263000,515609
2021-09-27,267500,7000,272000,272500,267000,512408
2021-09-24,274500,10000,285000,285500,274000,633897
2021-09-23,284500,9000,287000,291000,282500,1233089
2021-09-17,275500,8500,271000,276000,270000,669719
2021-09-16,267000,5500,276000,276000,266500,354210
2021-09-15,272500,9500,266000,275500,265500,576273
2021-09-14,263000,1000,261500,265000,260500,416684
2021-09-13,262000,5500,266500,267000,260500,505510
2021-09-10,267500,1500,269500,271000,265500,394088
2021-09-09,269000,4500,272000,275500,267000,595228
2021-09-08,273500,6000,278000,280000,273000,465631
2021-09-07,279500,1000,279000,282000,276000,345474
