※ 매월 말일자 통계 현황,,,,,,,
,,2022년02월,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1100000000,서울특별시  ,"9,508,451","4,442,586",          2.14,"4,615,823","4,892,628",          0.94
1111000000,서울특별시 종로구 ,"144,575","73,763",          1.96,"70,092","74,483",          0.94
1111051500,서울특별시 종로구 청운효자동,"11,953","5,251",          2.28,"5,506","6,447",          0.85
1111053000,서울특별시 종로구 사직동,"9,362","4,680",          2.00,"4,188","5,174",          0.81
1111054000,서울특별시 종로구 삼청동,"2,441","1,227",          1.99,"1,169","1,272",          0.92
1111055000,서울특별시 종로구 부암동,"9,541","4,255",          2.24,"4,551","4,990",          0.91
1111056000,서울특별시 종로구 평창동,"18,132","7,498",          2.42,"8,453","9,679",          0.87
1111057000,서울특별시 종로구 무악동,"8,219","3,065",          2.68,"3,811","4,408",          0.86
1111058000,서울특별시 종로구 교남동,"10,020","4,447",          2.25,"4,602","5,418",          0.85
1111060000,서울특별시 종로구 가회동,"4,063","1,995",          2.04,"1,875","2,188",          0.86
1111061500,서울특별시 종로구 종로1.2.3.4가동,"7,238","5,287",          1.37,"4,284","2,954",          1.45
1111063000,서울특별시 종로구 종로5.6가동,"5,072","3,390",          1.50,"2,700","2,372",          1.14
1111064000,서울특별시 종로구 이화동,"7,247","4,353",          1.66,"3,443","3,804",          0.91
1111065000,서울특별시 종로구 혜화동,"16,409","9,257",          1.77,"7,899","8,510",          0.93
1111067000,서울특별시 종로구 창신제1동,"4,905","2,851",          1.72,"2,639","2,266",          1.16
1111068000,서울특별시 종로구 창신제2동,"7,875","4,052",          1.94,"4,068","3,807",          1.07
1111069000,서울특별시 종로구 창신제3동,"6,551","2,801",          2.34,"3,235","3,316",          0.98
1111070000,서울특별시 종로구 숭인제1동,"5,850","2,992",          1.96,"2,810","3,040",          0.92
1111071000,서울특별시 종로구 숭인제2동,"9,697","6,362",          1.52,"4,859","4,838",          1.00
1114000000,서울특별시 중구 ,"122,167","63,644",          1.92,"59,446","62,721",          0.95
1114052000,서울특별시 중구 소공동,"2,241","1,306",          1.72,"1,073","1,168",          0.92
1114054000,서울특별시 중구 회현동,"4,749","2,728",          1.74,"2,463","2,286",          1.08
1114055000,서울특별시 중구 명동,"2,869","1,542",          1.86,"1,254","1,615",          0.78
1114057000,서울특별시 중구 필동,"4,038","2,486",          1.62,"2,070","1,968",          1.05
1114058000,서울특별시 중구 장충동,"4,578","2,761",          1.66,"2,362","2,216",          1.07
1114059000,서울특별시 중구 광희동,"5,242","3,390",          1.55,"2,669","2,573",          1.04
1114060500,서울특별시 중구 을지로동,"1,753","1,362",          1.29,"1,061",692,          1.53
1114061500,서울특별시 중구 신당동,"7,659","4,754",          1.61,"3,763","3,896",          0.97
1114062500,서울특별시 중구 다산동,"13,760","6,907",          1.99,"6,687","7,073",          0.95
1114063500,서울특별시 중구 약수동,"16,668","7,844",          2.12,"7,727","8,941",          0.86
1114064500,서울특별시 중구 청구동,"13,531","6,302",          2.15,"6,419","7,112",          0.90
1114065000,서울특별시 중구 신당제5동,"10,326","5,379",          1.92,"5,030","5,296",          0.95
1114066500,서울특별시 중구 동화동,"10,206","4,073",          2.51,"4,925","5,281",          0.93
1114067000,서울특별시 중구 황학동,"12,590","7,151",          1.76,"6,000","6,590",          0.91
1114068000,서울특별시 중구 중림동,"11,957","5,659",          2.11,"5,943","6,014",          0.99
1117000000,서울특별시 용산구 ,"222,413","111,134",          2.00,"106,881","115,532",          0.93
1117051000,서울특별시 용산구 후암동,"16,809","8,474",          1.98,"8,207","8,602",          0.95
1117052000,서울특별시 용산구 용산2가동,"9,443","5,255",          1.80,"4,564","4,879",          0.94
1117053000,서울특별시 용산구 남영동,"7,362","5,202",          1.42,"4,475","2,887",          1.55
1117055500,서울특별시 용산구 청파동,"19,458","11,157",          1.74,"9,082","10,376",          0.88
1117056000,서울특별시 용산구 원효로제1동,"16,011","8,194",          1.95,"7,585","8,426",          0.90
1117057000,서울특별시 용산구 원효로제2동,"13,720","6,032",          2.27,"6,462","7,258",          0.89
1117058000,서울특별시 용산구 효창동,"10,025","4,384",          2.29,"4,759","5,266",          0.90
1117059000,서울특별시 용산구 용문동,"11,833","5,394",          2.19,"5,657","6,176",          0.92
1117062500,서울특별시 용산구 한강로동,"21,685","11,669",          1.86,"10,304","11,381",          0.91
1117063000,서울특별시 용산구 이촌제1동,"25,785","9,541",          2.70,"12,077","13,708",          0.88
1117064000,서울특별시 용산구 이촌제2동,"8,244","3,681",          2.24,"3,857","4,387",          0.88
1117065000,서울특별시 용산구 이태원제1동,"6,363","3,606",          1.76,"3,099","3,264",          0.95
1117066000,서울특별시 용산구 이태원제2동,"8,946","4,923",          1.82,"4,097","4,849",          0.84
1117068500,서울특별시 용산구 한남동,"20,302","10,912",          1.86,"9,775","10,527",          0.93
